Segment Start,Segment End,Time,x,y
15:34:17,15:34:48,15.88,540,420
15:34:17,15:34:48,15.94,500,420
15:34:17,15:34:48,16.01,460,420
15:34:17,15:34:48,17.13,500,420
15:34:17,15:34:48,17.4,500,380
15:34:17,15:34:48,17.46,500,340
15:34:17,15:34:48,17.86,460,340
15:34:17,15:34:48,17.93,420,340
15:34:17,15:34:48,17.99,380,340
15:34:17,15:34:48,18.06,340,340
15:34:17,15:34:48,18.13,300,340
15:34:17,15:34:48,18.19,260,340
15:34:17,15:34:48,18.26,220,340
15:34:17,15:34:48,18.33,180,340
15:34:17,15:34:48,18.79,180,380
15:34:17,15:34:48,18.85,180,420
15:34:17,15:34:48,19.12,220,420
15:34:17,15:34:48,19.18,260,420
15:34:17,15:34:48,19.25,300,420
15:34:17,15:34:48,19.32,340,420
15:34:17,15:34:48,19.71,340,460
15:34:17,15:34:48,19.78,340,500
15:34:17,15:34:48,20.44,300,500
15:34:17,15:34:48,20.51,260,500
15:34:17,15:34:48,20.84,260,540
15:34:17,15:34:48,20.9,260,580
15:34:17,15:34:48,21.17,300,580
15:34:17,15:34:48,21.23,340,580
15:34:17,15:34:48,21.3,380,580
15:34:17,15:34:48,21.37,420,580
15:34:17,15:34:48,21.43,460,580
15:34:17,15:34:48,21.5,500,580
15:34:17,15:34:48,22.42,460,580
15:34:17,15:34:48,22.49,420,580
15:34:17,15:34:48,22.56,380,580
15:34:17,15:34:48,22.62,340,580
15:34:17,15:34:48,22.69,300,580
15:34:17,15:34:48,22.75,260,540
15:34:17,15:34:48,22.89,260,500
15:34:17,15:34:48,23.09,300,500
15:34:17,15:34:48,23.42,260,500
15:34:17,15:34:48,23.68,260,540
15:34:17,15:34:48,23.75,260,580
15:34:17,15:34:48,24.01,300,580
15:34:17,15:34:48,24.08,340,580
15:34:17,15:34:48,24.14,380,580
15:34:17,15:34:48,24.21,420,580
15:34:17,15:34:48,24.61,420,540
15:34:17,15:34:48,24.67,420,500
15:34:17,15:34:48,25.0,460,500
15:34:17,15:34:48,25.07,500,500
15:34:17,15:34:48,25.13,540,500
15:34:17,15:34:48,25.2,580,500
15:34:17,15:34:48,25.86,580,540
15:34:17,15:34:48,26.2,580,580
15:34:17,15:34:48,26.99,620,580
15:34:17,15:34:48,27.06,660,580
15:34:17,15:34:48,27.12,700,580
15:34:17,15:34:48,27.19,740,580
15:34:17,15:34:48,27.98,740,540
15:34:17,15:34:48,28.05,740,500
15:34:17,15:34:48,28.38,740,460
15:34:17,15:34:48,28.44,740,420
15:34:17,15:34:48,28.51,740,380
15:34:17,15:34:48,28.58,740,340
15:34:17,15:34:48,28.64,740,300
15:34:17,15:34:48,28.71,740,260
15:34:17,15:34:48,29.24,700,260
15:34:17,15:34:48,29.3,660,260
15:34:17,15:34:48,29.37,620,260
15:34:17,15:34:48,29.44,580,260
15:34:17,15:34:48,29.77,580,220
15:34:17,15:34:48,29.83,580,180
15:34:17,15:34:48,30.1,540,180
15:34:17,15:34:48,30.17,500,180
15:34:17,15:34:48,30.5,500,220
15:34:17,15:34:48,30.56,500,260
15:34:17,15:34:48,30.89,460,260
15:34:17,15:34:48,30.96,420,260
15:34:17,15:34:48,31.03,380,260
15:34:17,15:34:48,31.09,340,260
15:34:48,15:34:59,0.07,300,260
15:34:48,15:34:59,0.46,340,260
15:34:48,15:34:59,0.53,380,260
15:34:48,15:34:59,0.6,420,260
15:34:48,15:34:59,0.66,460,260
15:34:48,15:34:59,0.73,500,260
15:34:48,15:34:59,1.32,500,220
15:34:48,15:34:59,1.65,500,180
15:34:48,15:34:59,2.18,540,180
15:34:48,15:34:59,2.25,580,180
15:34:48,15:34:59,2.51,580,220
15:34:48,15:34:59,2.58,580,260
15:34:48,15:34:59,2.85,620,260
15:34:48,15:34:59,2.91,660,260
15:34:48,15:34:59,2.98,700,260
15:34:48,15:34:59,3.04,740,260
15:34:48,15:34:59,3.44,740,300
15:34:48,15:34:59,3.51,740,340
15:34:48,15:34:59,3.57,740,380
15:34:48,15:34:59,3.64,740,420
15:34:48,15:34:59,3.71,740,460
15:34:48,15:34:59,3.77,740,500
15:34:48,15:34:59,3.84,740,540
15:34:48,15:34:59,3.9,740,580
15:34:48,15:34:59,4.37,700,580
15:34:48,15:34:59,4.63,660,580
15:34:48,15:34:59,4.7,620,580
15:34:48,15:34:59,4.76,580,580
15:34:48,15:34:59,4.96,580,540
15:34:48,15:34:59,5.03,580,500
15:34:48,15:34:59,5.29,540,500
15:34:48,15:34:59,5.36,500,500
15:34:48,15:34:59,5.43,460,500
15:34:48,15:34:59,5.49,420,500
15:34:48,15:34:59,5.76,420,540
15:34:48,15:34:59,5.82,420,580
15:34:48,15:34:59,6.15,380,580
15:34:48,15:34:59,6.22,340,580
15:34:48,15:34:59,6.29,300,580
15:34:48,15:34:59,6.35,260,580
15:34:48,15:34:59,6.62,260,540
15:34:48,15:34:59,6.68,260,500
15:34:48,15:34:59,7.48,300,500
15:34:48,15:34:59,7.54,340,500
15:34:48,15:34:59,8.01,340,460
15:34:48,15:34:59,8.07,340,420
15:34:48,15:34:59,8.34,300,420
15:34:48,15:34:59,8.41,260,420
15:34:48,15:34:59,8.47,220,420
15:34:48,15:34:59,9.13,180,420
15:34:48,15:34:59,9.59,180,380
15:34:48,15:34:59,9.66,180,340
15:34:48,15:34:59,9.92,220,340
15:34:48,15:34:59,9.99,260,340
15:34:48,15:34:59,10.06,300,340
15:34:48,15:34:59,10.13,340,340
15:34:48,15:34:59,10.19,380,340
15:34:48,15:34:59,10.26,420,340
15:34:48,15:34:59,10.32,460,340
15:34:48,15:34:59,10.39,500,340
15:34:48,15:34:59,10.65,500,380
15:34:48,15:34:59,10.72,500,420
15:34:59,15:35:10,0.4,500,380
15:34:59,15:35:10,0.46,500,340
15:34:59,15:35:10,0.73,460,340
15:34:59,15:35:10,0.79,420,340
15:34:59,15:35:10,0.86,380,340
15:34:59,15:35:10,0.93,340,340
15:34:59,15:35:10,0.99,300,340
15:34:59,15:35:10,1.06,260,340
15:34:59,15:35:10,1.12,220,340
15:34:59,15:35:10,1.19,180,340
15:34:59,15:35:10,1.52,180,380
15:34:59,15:35:10,1.59,180,420
15:34:59,15:35:10,1.92,220,420
15:34:59,15:35:10,1.99,260,420
15:34:59,15:35:10,2.05,300,420
15:34:59,15:35:10,2.12,340,420
15:34:59,15:35:10,2.58,340,460
15:34:59,15:35:10,2.65,340,500
15:34:59,15:35:10,3.31,300,500
15:34:59,15:35:10,3.37,260,500
15:34:59,15:35:10,3.71,260,540
15:34:59,15:35:10,3.77,260,580
15:34:59,15:35:10,4.17,300,580
15:34:59,15:35:10,4.24,340,580
15:34:59,15:35:10,4.3,380,580
15:34:59,15:35:10,4.37,420,580
15:34:59,15:35:10,4.76,420,540
15:34:59,15:35:10,4.83,420,500
15:34:59,15:35:10,5.16,460,500
15:34:59,15:35:10,5.23,500,500
15:34:59,15:35:10,5.29,540,500
15:34:59,15:35:10,5.36,580,500
15:34:59,15:35:10,5.62,580,540
15:34:59,15:35:10,5.69,580,580
15:34:59,15:35:10,5.96,620,580
15:34:59,15:35:10,6.02,660,580
15:34:59,15:35:10,6.09,700,580
15:34:59,15:35:10,6.15,740,580
15:34:59,15:35:10,7.15,740,540
15:34:59,15:35:10,7.21,740,500
15:34:59,15:35:10,7.28,740,460
15:34:59,15:35:10,7.35,740,420
15:34:59,15:35:10,7.41,740,380
15:34:59,15:35:10,7.48,740,340
15:34:59,15:35:10,7.54,740,300
15:34:59,15:35:10,7.61,740,260
15:34:59,15:35:10,8.01,700,260
15:34:59,15:35:10,8.07,660,260
15:34:59,15:35:10,8.14,620,260
15:34:59,15:35:10,8.2,580,260
15:34:59,15:35:10,8.54,580,220
15:34:59,15:35:10,8.6,580,180
15:34:59,15:35:10,8.87,540,180
15:34:59,15:35:10,8.93,500,180
15:34:59,15:35:10,9.46,500,220
15:34:59,15:35:10,9.53,500,260
15:34:59,15:35:10,9.86,460,260
15:34:59,15:35:10,9.93,420,260
15:34:59,15:35:10,9.99,380,260
15:34:59,15:35:10,10.06,340,260
15:34:59,15:35:10,10.12,300,260
15:34:59,15:35:10,10.19,260,260
15:34:59,15:35:10,10.65,260,220
15:34:59,15:35:10,10.72,260,180
15:34:59,15:35:10,10.78,260,140
15:34:59,15:35:10,10.85,260,100
15:35:10,15:35:26,0.07,260,60
15:35:10,15:35:26,0.93,260,100
15:35:10,15:35:26,0.99,260,140
15:35:10,15:35:26,1.06,260,180
15:35:10,15:35:26,1.13,260,220
15:35:10,15:35:26,1.19,260,260
15:35:10,15:35:26,1.59,300,260
15:35:10,15:35:26,1.66,340,260
15:35:10,15:35:26,1.72,380,260
15:35:10,15:35:26,1.79,420,260
15:35:10,15:35:26,1.85,460,260
15:35:10,15:35:26,1.92,500,260
15:35:10,15:35:26,3.18,500,220
15:35:10,15:35:26,3.25,500,180
15:35:10,15:35:26,3.64,540,180
15:35:10,15:35:26,3.71,580,180
15:35:10,15:35:26,4.7,580,220
15:35:10,15:35:26,4.77,580,260
15:35:10,15:35:26,5.03,620,260
15:35:10,15:35:26,5.1,660,260
15:35:10,15:35:26,5.16,700,260
15:35:10,15:35:26,5.23,740,260
15:35:10,15:35:26,5.49,740,300
15:35:10,15:35:26,5.56,740,340
15:35:10,15:35:26,5.63,740,380
15:35:10,15:35:26,5.69,740,420
15:35:10,15:35:26,5.76,740,460
15:35:10,15:35:26,5.82,740,500
15:35:10,15:35:26,5.89,740,540
15:35:10,15:35:26,5.96,740,580
15:35:10,15:35:26,6.22,700,580
15:35:10,15:35:26,6.62,660,580
15:35:10,15:35:26,6.68,620,580
15:35:10,15:35:26,6.75,580,580
15:35:10,15:35:26,7.21,580,540
15:35:10,15:35:26,7.28,580,500
15:35:10,15:35:26,7.61,540,500
15:35:10,15:35:26,7.68,500,500
15:35:10,15:35:26,7.74,460,500
15:35:10,15:35:26,7.81,420,500
15:35:10,15:35:26,8.21,420,540
15:35:10,15:35:26,8.27,420,580
15:35:10,15:35:26,8.6,380,580
15:35:10,15:35:26,8.67,340,580
15:35:10,15:35:26,8.73,300,580
15:35:10,15:35:26,8.8,260,580
15:35:10,15:35:26,9.26,260,540
15:35:10,15:35:26,9.33,260,500
15:35:10,15:35:26,9.73,300,500
15:35:10,15:35:26,9.79,340,500
15:35:10,15:35:26,10.06,340,460
15:35:10,15:35:26,10.12,340,420
15:35:10,15:35:26,10.39,300,420
15:35:10,15:35:26,10.45,260,420
15:35:10,15:35:26,10.52,220,420
15:35:10,15:35:26,10.59,180,420
15:35:10,15:35:26,10.92,180,380
15:35:10,15:35:26,10.98,180,340
15:35:10,15:35:26,11.05,180,300
15:35:10,15:35:26,11.11,180,260
15:35:10,15:35:26,11.18,180,220
15:35:10,15:35:26,11.25,180,180
